,Unnamed: 0,Nombre,Nacimiento,PaÃ­s,year,month,day,trimestre
382,382,"DraÅ¾iÄ, SiniÅ¡a",1967-12-16,Yugoslavia (S&M),1967,12,16,4
383,383,"Dreev, Aleksey",1969-01-30,Russia,1969,1,30,1
384,384,"Drenchev, Petar",1977-04-25,Bulgaria,1977,4,25,2
385,385,"Drozdovskij, Yuri",1984-05-22,Ukraine,1984,5,22,2
386,386,"Dubov, Daniil",1996-04-18,Russia,1996,4,18,2
387,387,"Duda, Jan-Krzysztof",1998-04-26,Poland,1998,4,26,2
388,388,"Durarbayli, Vasif",1992-02-24,Azerbaijan,1992,2,24,1
389,389,"Duras, OldÅich",1882-10-30,CzechoÂ­slovakia,1882,10,30,4
390,390,"Dvirnyy, Danyyil",1990-10-21,Italy,1990,10,21,4
391,391,"Dvoirys, Semen I.",1958-11-02,Russia,1958,11,2,4
392,392,"Dyachkov, Sergej",1976-11-06,Russia,1976,11,6,4
393,393,"Dydyshko, Viacheslav",1949-04-10,Belarus,1949,4,10,2
394,394,"Dzagnidze, Nana",1987-01-01,Georgia,1987,1,1,1
395,395,"Dzhakaev, Dzhakay",1980-04-05,Russia,1980,4,5,2
396,396,"Dzhumaev, Marat",1976-01-12,Uzbekistan,1976,1,12,1
397,397,"DzindziÂ­chashvili, Roman",1944-05-05,Soviet Union,1944,5,5,2
398,398,"Dziuba, Marcin",1983-07-17,Poland,1983,7,17,3
399,399,"Ãdouard, Romain",1990-11-28,France,1990,11,28,4
400,400,"Efimenko, Zahar",1985-07-03,Ukraine,1985,7,3,3
401,401,"Efimov, Igor",1960-09-16,Georgia,1960,9,16,3
402,402,"Ehlvest, Jaan",1962-10-14,Soviet Union,1962,10,14,4
403,403,"Eingorn, Vereslav S.",1956-11-23,Soviet Union,1956,11,23,4
404,404,"El Debs, Felipe de Cresce",1985-01-29,Brazil,1985,1,29,1
405,405,"El Gindy, Essam",1966-07-14,Egypt,1966,7,14,3
406,406,"Eliseev, Urii",1996-08-29,Russia,1996,8,29,3
407,407,"Eliskases, Erich",1913-02-15,Argentina,1913,2,15,1
408,408,"Eljanov, Pavel",1983-05-10,Ukraine,1983,5,10,2
410,410,"Enchev, Ivajlo",1989-09-05,Bulgaria,1989,9,5,3
411,411,"Enders, Peter",1963-02-02,Germany,1963,2,2,1
412,412,"Engel, Luis",2002-10-14,Germany,2002,10,14,4
413,413,"Epishin, Vladimir",1965-07-11,Soviet Union,1965,7,11,3
414,414,"ErdoÄdu, Mert",1979-03-30,Turkey,1979,3,30,1
415,415,"ErdÅs, Viktor",1987-09-02,Hungary,1987,9,2,3
416,416,"Erenburg, Sergey",1983-01-27,Israel,1983,1,27,1
417,417,Erigaisi Arjun,2003-09-03,India,2003,9,3,3
418,418,"Ermenkov, Evgenij",1949-09-29,Bulgaria,1949,9,29,3
419,419,"Ernst, Sipke",1979-01-08,Netherlands,1979,1,8,1
420,420,"Ernst, Thomas",1960-08-17,Sweden,1960,8,17,3
421,421,"Eryomenko, Volodymyr",1987-05-05,Ukraine,1987,5,5,2
422,422,"Escobar Forero, Alder",1977-03-11,Colombia,1977,3,11,1
423,423,"Esen, BarÄ±Å",1986-11-03,Turkey,1986,11,3,4
424,424,"Esipenko, Andrey",2002-03-22,Russia,2002,3,22,1
425,425,"Espig, Lutz",1949-01-05,Germany,1949,1,5,1
426,426,"Espinosa Veloz, Ermes",1987-07-30,Cuba,1987,7,30,3
427,427,"Euwe, Max",1901-05-20,Netherlands,1901,5,20,2
429,429,"Evdokimov, Alexander A.",1985-10-28,Russia,1985,10,28,4
430,430,Fang Yuxiang,1996-02-29,China,1996,2,29,1
431,431,"FaragÃ³, IvÃ¡n",1946-04-01,Hungary,1946,4,1,2
432,432,"FargÃ¨re, FranÃ§ois",1985-09-01,France,1985,9,1,3
433,433,"Fawzy, Adham",2000-01-03,Egypt,2000,1,3,1
434,434,"Fedorchuk, Sergey A.",1981-03-14,Ukraine,1981,3,14,1
435,435,"Fedorov, Alexei",1972-09-27,Belarus,1972,9,27,3
437,437,"Fedoseev, Vladimir",1995-02-16,Russia,1995,2,16,1
438,438,"Felgaer, RubÃ©n",1981-04-04,Argentina,1981,4,4,2
439,439,"Feller, SÃ©bastien",1991-03-11,France,1991,3,11,1
440,440,"FerÄec, Nenad",1961-04-12,Croatia,1961,4,12,2
441,441,"Fernandes, AntÃ³nio",1962-10-18,Portugal,1962,10,18,4
442,442,"FernÃ¡ndez Garcia, JosÃ© LuÃ­s",1954-05-03,Spain,1954,5,3,2
443,443,"Fernandez Romero, Ernesto",1983-01-23,Spain,1983,1,23,1
445,445,"Ferreira, Jorge Viterbo",1994-06-24,Portugal,1994,6,24,2
446,446,"Feygin, Michael",1975-01-02,Germany,1975,1,2,1
447,447,"Fier, Alexandr",1988-03-11,Brazil,1988,3,11,1
448,448,"Filip, Miroslav",1928-10-27,CzechoÂ­slovakia,1928,10,27,4
449,449,"Filippov, Anton",1986-06-12,Uzbekistan,1986,6,12,2
450,450,"Filippov, Valerij",1975-11-28,Russia,1975,11,28,4
453,453,"Finkel, Alexander",1975-01-01,Israel,1975,1,1,1
454,454,"FÄ±rat, Burak",1993-01-01,Turkey,1993,1,1,1
455,455,"Firman, Nazar",1983-03-22,Ukraine,1983,3,22,1
456,456,"Firouzja, Alireza",2003-06-18,Iran,2003,6,18,2
458,458,"Fish, Gennadij",1973-04-20,Germany,1973,4,20,2
461,461,"Flesch, JÃ¡nos",1933-09-30,Hungary,1933,9,30,3
462,462,"Flohr, Salo",1908-11-21,Soviet Union,1908,11,21,4
463,463,"Flom, Gabriel",1986-01-27,France,1986,1,27,1
464,464,"Flores RÃ­os, Mauricio",1990-09-10,Chile,1990,9,10,3
465,465,"Flores, Diego",1982-12-18,Argentina,1982,12,18,4
466,466,"Flumbort, AndrÃ¡s",1984-08-17,Hungary,1984,8,17,3
467,467,"Fodor, Tamas Jr.",1991-06-02,Hungary,1991,6,2,2
468,468,"Fogarasi, Tibor",1969-11-21,Hungary,1969,11,21,4
469,469,"Fominyh, Alexander",1959-06-15,Russia,1959,6,15,2
470,470,"Fontaine, Robert",1980-11-18,France,1980,11,18,4
471,471,"Forcen Esteban, Daniel",1994-06-12,Spain,1994,6,12,2
472,472,"Forintos, GyÅzÅ",1935-07-30,Hungary,1935,7,30,3
473,473,"Franco Ocampos, ZenÃ³n",1956-05-12,Spain,1956,5,12,2
474,474,"Fressinet, Laurent",1981-11-30,France,1981,11,30,4
475,475,"Fridman, Daniel",1976-02-15,Latvia,1976,2,15,1
477,477,"Frolyanov, Dmitry",1986-05-20,Russia,1986,5,20,2
478,478,"FtÃ¡Änik, Ä½ubomÃ­r",1957-10-30,Slovakia,1957,10,30,4
479,479,"Fuderer, Andrija",1931-05-13,Yugoslavia,1931,5,13,2
480,480,"Furman, Semyon",1920-12-01,Soviet Union,1920,12,1,4
481,481,"Gabriel, Christian",1975-03-03,Germany,1975,3,3,1
482,482,"Gabrielian, Artur",1982-12-26,Russia,1982,12,26,4
483,483,"Gabuzyan, Hovhannes",1995-05-19,Armenia,1995,5,19,2
484,484,"Gagare, Shardul",1997-09-02,India,1997,9,2,3
485,485,"Gagunashvili, Merab",1985-01-03,Georgia,1985,1,3,1
486,486,"Gajewski, Grzegorz",1985-07-19,Poland,1985,7,19,3
487,487,"Galdunts, Sergey",1965-01-17,Armenia,1965,1,17,1
488,488,"Galego, LuÃ­s",1966-04-25,Portugal,1966,4,25,2
489,489,"Gallego Alcaraz, Andres Felipe",1989-12-10,Colombia,1989,12,10,4
490,490,"Galkin, Alexander",1979-02-01,Russia,1979,2,1,1
491,491,"Gallagher, Joseph G.",1964-05-04,Switzerland,1964,5,4,2
492,492,"Ganguly, Surya Shekhar",1983-02-24,India,1983,2,24,1
493,493,Gao Rui,1992-05-20,China,1992,5,20,2
494,494,"GaprindaÂ­shvili, Nona",1941-05-03,Georgia,1941,5,3,2
495,495,"GaprindaÂ­shvili, Valeriane",1982-01-16,Georgia,1982,1,16,1
496,496,"GarcÃ­a, Gildardo",1954-03-09,Colombia,1954,3,9,1
497,497,"GarcÃ­a GonzÃ¡lez, Guillermo",1953-12-09,Cuba,1953,12,9,4
498,498,"GarcÃ­a IlundÃ¡in, David",1971-04-02,Spain,1971,4,2,2
499,499,"GarcÃ­a MartÃ­nez, Silvino",1944-07-04,Cuba,1944,7,4,3
500,500,"GarcÃ­a Palermo, Carlos",1953-12-02,Argentina,1953,12,2,4
501,501,"Garcia Pantoja, Roberto",1992-10-31,Cuba,1992,10,31,4
502,502,"Gareyev, Timur",1988-03-03,Uzbekistan,1988,3,3,1
503,503,"Gasanov, Eldar",1982-09-26,Ukraine,1982,9,26,3
504,504,"GascÃ³n Del Nogal, JosÃ© Rafael",1995-05-23,Venezuela,1995,5,23,2
505,505,"Gashimov, Vugar",1986-07-24,Azerbaijan,1986,7,24,3
506,506,"Gausel, Einar J.",1963-11-30,Norway,1963,11,30,4
507,507,"Gavrikov, Viktor",1957-07-29,Soviet Union,1957,7,29,3
508,508,"Gavrilov, Alexei",1960-10-20,Russia,1960,10,20,4
509,509,"Gazarian, Aram",1983-04-11,Russia,1983,4,11,2
510,510,"GdaÅski, Jacek",1970-11-30,Poland,1970,11,30,4
511,511,"Gelashvili, Tamaz",1978-04-08,Georgia,1978,4,8,2
512,512,"Gelfand, Boris",1968-06-24,Soviet Union,1968,6,24,2
513,513,"Geller, Efim",1925-03-08,Russia,1925,3,8,1
514,514,"Geller, Jakov",1986-08-11,Russia,1986,8,11,3
515,515,"Genov, Petar",1970-04-05,Bulgaria,1970,4,5,2
516,516,"Georgescu, Tiberiu-Marian",1991-02-08,Romania,1991,2,8,1
517,517,"Georgiadis, Nico",1996-01-22,Switzerland,1996,1,22,1
518,518,"Georgiev, Kiril",1965-11-28,Bulgaria,1965,11,28,4
519,519,"Georgiev, Krum",1958-05-24,Bulgaria,1958,5,24,2
520,520,"Georgiev, Vladimir",1975-08-27,Bulgaria,1975,8,27,3
521,521,"Gershon, Alik",1980-06-03,Israel,1980,6,3,2
522,522,"Ghaem Maghami, Ehsan",1982-08-11,Iran,1982,8,11,3
523,523,"Ghane, Shojaat",1975-03-30,Iran,1975,3,30,1
524,524,"Gharamian, Tigran",1984-07-24,France,1984,7,24,3
525,525,"Gheorghiu, Florin",1944-04-06,Romania,1944,4,6,2
526,526,"GhiÈescu, Theodor",1934-01-24,Romania,1934,1,24,1
527,527,"Gholami, Aryan",2001-07-26,Iran,2001,7,26,3
528,528,"Ghosh, Diptayan",1998-08-10,India,1998,8,10,3
529,529,"Giaccio, Alfredo",1970-07-15,Argentina,1970,7,15,3
530,530,"Ginsburg, Gennadi",1971-08-11,Germany,1971,8,11,3
531,531,"Giorgadze, Giorgi",1964-10-10,Georgia,1964,10,10,4
532,532,"Giorgadze, Tamaz",1947-11-09,Soviet Union,1947,11,9,4
533,533,"Gipslis, Aivars",1937-02-08,Soviet Union,1937,2,8,1
534,534,"Giri, Anish",1994-06-28,Netherlands,1994,6,28,2
535,535,"Girish, A. Koushik",1997-08-31,India,1997,8,31,3
536,536,"Girya, Olga",1991,Russia,1991,1,1,1
537,537,"Gledura, BenjÃ¡min",1999-07-04,Hungary,1999,7,4,3
538,538,"Gleizerov, Evgeny",1963-03-20,Russia,1963,3,20,1
539,539,"Glek, Igor",1961-11-07,Soviet Union,1961,11,7,4
540,540,"GligoriÄ, Svetozar",1923-02-02,Yugoslavia,1923,2,2,1
541,541,"Glud, Jakob Vang",1988-04-06,Denmark,1988,4,6,2
542,542,"Godena, Michele",1967-06-30,Italy,1967,6,30,2
543,543,"Gofshtein, Leonid",1953-04-21,Israel,1953,4,21,2
544,544,"Goganov, Aleksey",1991-07-26,Russia,1991,7,26,3
545,545,"Goh, Wei Ming Kevin",1983-07-07,Singapore,1983,7,7,3
546,546,"Goldin, Alexander",1964-02-27,Soviet Union,1964,2,27,1
547,547,"Golizadeh, Asghar",1990-07-29,Iran,1990,7,29,3
548,548,"Golod, Vitali",1971-06-23,Israel,1971,6,23,2
550,550,"Goloshchapov, Alexander",1978-01-25,Ukraine,1978,1,25,1
551,551,"Golubev, Mikhail",1970-05-30,Ukraine,1970,5,30,2
552,552,"Golubka, Petro",1989-05-09,Ukraine,1989,5,9,2
553,553,"Gomez Esteban, Juan Mario",1958-02-15,Spain,1958,2,15,1
554,554,"Gomez Garrido, Camilo Ernesto",1987-10-23,Cuba,1987,10,23,4
555,555,"GÃ³mez, John Paul",1986-05-23,Philippines,1986,5,23,2
556,556,"Gonda, LÃ¡szlÃ³",1988-04-24,Hungary,1988,4,24,2
557,557,"GonzÃ¡les, Jayson",1969-02-05,Philippines,1969,2,5,1
559,559,"GonzÃ¡lez Acosta, Bernal",1973-06-10,Costa Rica,1973,6,10,2
560,560,"GonzÃ¡lez GarcÃ­a, JosÃ©",1973-08-12,Mexico,1973,8,12,3
561,561,"GonzÃ¡lez Vidal, Yuri",1981-01-12,Cuba,1981,1,12,1
562,562,"Gonzalez Zamora, Juan Carlos",1968-06-24,Mexico,1968,6,24,2
563,563,"GonzÃ¡lez PÃ©rez, Arian",1988-08-17,FIDE,1988,8,17,3
564,564,Gopal G. N.,1989-03-29,India,1989,3,29,1
565,565,"Gordievsky, Dmitry",1996-04-24,Russia,1996,4,24,2
568,568,"Gorovets, Andrey",1987-09-14,Belarus,1987,9,14,3
569,569,"Gorovykh, Eduard",1990-02-07,Russia,1990,2,7,1
570,570,"Goryachkina, Aleksandra",1998-09-28,Russia,1998,9,28,3
571,571,"Gozzoli, Yannick",1983-06-02,France,1983,6,2,2
572,572,"Grabarczyk, MirosÅaw",1971-01-03,Poland,1971,1,3,1
573,573,"Grachev, Boris",1986-03-27,Russia,1986,3,27,1
574,574,"Graf, Alexander",1962-08-25,Uzbekistan,1962,8,25,3
575,575,"Granda ZÃºÃ±iga, Julio E",1967-02-25,Peru,1967,2,25,1
576,576,"Grandelius, Nils",1993-06-03,Sweden,1993,6,3,2
577,577,"Grechikhin, Valery",1937-09-06,Russia,1937,9,6,3
578,578,"Greenfeld, Alon",1964-04-17,Israel,1964,4,17,2
579,579,"GrÃ©tarsson, Helgi Ãss",1977-02-18,Iceland,1977,2,18,1
580,580,"GrÃ©tarsson, HjÃ¶rvar Steinn",1993-05-29,Iceland,1993,5,29,2
581,581,"Grigore, George-Gabriel",1970-11-13,Romania,1970,11,13,4
582,582,"Grigoriants, Sergey",1983-11-02,Russia,1983,11,2,4
583,583,"Grigorov, Grigor",1987-05-26,Bulgaria,1987,5,26,2
584,584,"Grigoryan, Avetik",1989-01-27,Armenia,1989,1,27,1
585,585,"Grigoryan, Karen H.",1995-02-25,Armenia,1995,2,25,1
586,586,"Grischuk, Alexander",1983-10-31,Russia,1983,10,31,4
587,587,"Gritsak, Orest",1973-02-24,Ukraine,1973,2,24,1
588,588,"Grivas, Efstratios",1966-03-30,Greece,1966,3,30,1
589,589,"Groszpeter, Attila",1960-06-09,Hungary,1960,6,9,2
590,590,"Grover, Sahaj",1995-09-07,India,1995,9,7,3
591,591,"Gruenfeld, Yehuda",1956-02-28,Israel,1956,2,28,1
592,592,"GrÃ¼nfeld, Ernst",1893-11-21,Austria,1893,11,21,4
593,593,"Guerra Mendez, Jose Angel",1988-01-20,Spain,1988,1,20,1
594,594,"Gufeld, Eduard",1936-03-19,Ukraine,1936,3,19,1
595,595,"Guidarelli, Laurent",1981-06-18,France,1981,6,18,2
596,596,"Guimard, Carlos",1913-04-06,Argentina,1913,4,6,2
597,597,"Gujrathi, Vidit",1994-10-24,India,1994,10,24,4
598,598,Gukesh D,2006-05-29,India,2006,5,29,2
599,599,"Guliev, Sarhan",1968-04-01,Azerbaijan,1968,4,1,2
600,600,"Guliyev, Namig",1974-02-13,Azerbaijan,1974,2,13,1
601,601,"Gulko, Boris",1947-02-09,Soviet Union,1947,2,9,1
602,602,"Gumularz, Szymon",2001-12-22,Poland,2001,12,22,4
603,603,"Gunawan, Ruben",1968-04-17,Indonesia,1968,4,17,2
604,604,"Gundavaa, Bayarsaikhan",1989-05-29,Mongolia,1989,5,29,2
605,605,"Gunina, Valentina",1989-02-04,Russia,1989,2,4,1
606,606,"Gupta, Abhijeet",1989-10-16,India,1989,10,16,4
609,609,"Gurevich, Mikhail",1959-02-22,Soviet Union,1959,2,22,1
610,610,"Gurevich, Vladimir",1959-08-04,Ukraine,1959,8,4,3
611,611,"Gurgenidze, Bukhuti",1933-11-13,Soviet Union,1933,11,13,4
612,612,"Guseinov, Aidyn",1955-11-30,Azerbaijan,1955,11,30,4
613,613,"Guseinov, Gadir",1986-05-21,Azerbaijan,1986,5,21,2
614,614,"Gustafsson, Jan",1979-06-25,Germany,1979,6,25,2
615,615,"Gutman, Gennadi",1973-11-01,Ukraine,1973,11,1,4
616,616,"Gutman, Lev",1945-09-26,Israel,1945,9,26,3
617,617,"Gutov, Andrey",1978-12-08,Russia,1978,12,8,4
618,618,"Gyimesi, ZoltÃ¡n",1977-03-31,Hungary,1977,3,31,1
619,619,"HÃ¡ba, Petr",1965-01-06,Czech Republic,1965,1,6,1
620,620,"Haddouche, Mohamed",1984-08-19,Algeria,1984,8,19,3
621,621,"Hakobyan, Aram",2001-04-01,Armenia,2001,4,1,2
622,622,"Halkias, Stelios",1980-04-11,Greece,1980,4,11,2
623,623,"Hambleton, Aman",1992-12-30,Canada,1992,12,30,4
624,624,"Hamdouchi, Hicham",1972-10-08,Morocco,1972,10,8,4
625,625,"HamiÅ£evici, Vladimir",1991-02-19,Moldova,1991,2,19,1
626,626,"Hammer, Jon Ludvig",1990-06-02,Norway,1990,6,2,2
627,627,"Handke, Florian",1982-03-22,Germany,1982,3,22,1
628,628,"Handoko, Edhi",1960-08-28,Indonesia,1960,8,28,3
629,629,"Hansen, Curt",1964-09-18,Denmark,1964,9,18,3
630,630,"Hansen, Eric",1992-05-24,Canada,1992,5,24,2
631,631,"Hansen, Lars Bo",1968-09-24,Denmark,1968,9,24,3
632,632,"Hansen, Sune Berg",1971-04-21,Denmark,1971,4,21,2
633,633,"Hansen, TorbjÃ¸rn Ringdal",1979-03-01,Norway,1979,3,1,1
634,634,"Har-Zvi, Ronen",1976-10-13,Israel,1976,10,13,4
635,635,"Harika, Dronavalli",1991-01-12,India,1991,1,12,1
636,636,"Harikrishna, Pentala",1986-05-10,India,1986,5,10,2
637,637,Harsha Bharathakoti,2000-02-07,India,2000,2,7,1
638,638,"Harutjunyan, Gevorg",1981-05-07,Armenia,1981,5,7,2
639,639,"Harutyunyan, Tigran K.",1997-01-15,Armenia,1997,1,15,1
640,640,"Hasangatin, Ramil",1972-07-01,Russia,1972,7,1,3
642,642,"Haub, Thorsten Michael",1968-02-15,Germany,1968,2,15,1
643,643,"Hauchard, Arnaud",1971-11-15,France,1971,11,15,4
644,644,"Hausrath, Daniel",1976-04-08,Germany,1976,4,8,2
646,646,"Hayrapetyan, Hovik",1990-02-15,Armenia,1990,2,15,1
647,647,"HaznedaroÄlu, KÄ±vanÃ§",1981-01-01,Turkey,1981,1,1,1
649,649,"Heberla, BartÅomiej",1985-06-19,Poland,1985,6,19,2
650,650,"Hecht, Hans-Joachim",1939-01-29,Germany,1939,1,29,1
651,651,"Hector, Jonny",1964-02-13,Sweden,1964,2,13,1
652,652,"Heinemann, Thies",1971-03-07,Germany,1971,3,7,1
653,653,"Heimann, Andreas",1992-01-10,Germany,1992,1,10,1
654,654,"Hellers, Ferdinand",1969-01-28,Sweden,1969,1,28,1
655,655,"Hellsten, Johan",1975-12-25,Sweden,1975,12,25,4
656,656,"Henderson de La Fuente, Lance",2003-05-19,Spain,2003,5,19,2
658,658,"Henriquez Villagra, CristÃ³bal",1996-08-07,Chile,1996,8,7,3
659,659,"HÃ©ra, Imre Jr.",1986-09-03,Hungary,1986,9,3,3
660,660,"HernÃ¡ndez Carmenate, Holden",1984-08-10,Cuba,1984,8,10,3
661,661,"HernÃ¡ndez Guerrero, Gilberto",1970-02-04,Mexico,1970,2,4,1
662,662,"HernÃ¡ndez Onna, RomÃ¡n",1949-11-23,Cuba,1949,11,23,4
663,663,"Herraiz HidÃ¡lgo, Herminio",1978-10-30,Spain,1978,10,30,4
664,664,"Herrera, Irisberto",1968-12-07,Cuba,1968,12,7,4
665,665,"Hertneck, Gerald",1963-09-18,Germany,1963,9,18,3
666,666,"Hesham, Abdelrahman",1992-02-12,Egypt,1992,2,12,1
668,668,"Hevia Alejano, Carlos Antonio",1991-10-30,Cuba,1991,10,30,4
669,669,"Hickl, JÃ¶rg",1965-04-16,Germany,1965,4,16,2
670,670,"Hillarp Persson, Tiger",1970-10-28,Sweden,1970,10,28,4
671,671,"Himanshu, Sharma",1983-09-16,India,1983,9,16,3
672,672,"Hjartarson, JÃ³hann",1963-02-08,Iceland,1963,2,8,1
673,673,HoÃ ng Thanh Trang,1980-04-25,Hungary,1980,4,25,2
675,675,"Hoffman, Alejandro",1966-10-26,Argentina,1966,10,26,4
676,676,"Hoffmann, Michael",1970-09-19,Germany,1970,9,19,3
677,677,"HÃ¸i, Carsten",1957-01-16,Denmark,1957,1,16,1
679,679,"Holzke, Frank",1971-07-08,Germany,1971,7,8,3
680,680,"Honfi, KÃ¡roly",1930-10-25,Hungary,1930,10,25,4
682,682,"Hort, Vlastimil",1944-01-12,CzechoÂ­slovakia,1944,1,12,1
683,683,"HorvÃ¡th, ÃdÃ¡m",1981-07-14,Hungary,1981,7,14,3
684,684,"Horvath, Csaba",1968-06-05,Hungary,1968,6,5,2
685,685,"Horvath, Jozsef",1964-08-13,Hungary,1964,8,13,3
686,686,"HorvÃ¡th, PÃ©ter",1972-06-17,Hungary,1972,6,17,2
687,687,"Hossain, Enamul",1981-09-30,Bangladesh,1981,9,30,3
688,688,Hou Yifan,1994-02-27,China,1994,2,27,1
689,689,"Hovhannisyan, Mher",1978-09-25,Belgium,1978,9,25,3
690,690,"Hovhannisyan, Robert",1991-03-23,Armenia,1991,3,23,1
693,693,"HrÃ¡Äek, ZbynÄk",1970-09-09,Czech Republic,1970,9,9,3
694,694,"HÃ¼bner, Robert",1948-11-06,West Germany,1948,11,6,4
695,695,"Hulak, Krunoslav",1951-05-25,Yugoslavia,1951,5,25,2
697,697,"Huschenbeth, Niclas",1992-02-29,Germany,1992,2,29,1
698,698,"Huzman, Alexander",1962-04-10,Israel,1962,4,10,2
699,699,"Ibarra Chami, LuÃ­s Fernando",1989-05-15,Mexico,1989,5,15,2
700,700,"Ibarra JerÃ©z, JosÃ© Carlos",1985-08-07,Spain,1985,8,7,3
701,701,"Ibragimov, Alibek",1968-08-12,Kazakhstan,1968,8,12,3
702,702,"Ibragimov, Ildar",1967-08-16,Russia,1967,8,16,3
703,703,"Ibrahimov, Rasul",1981-08-13,Azerbaijan,1981,8,13,3
704,704,"Ibrayev, Nurlan",1977-02-25,Kazakhstan,1977,2,25,1
705,705,"Idani, Pouya",1995-09-22,Iran,1995,9,22,3
706,706,"Ikonnikov, Vyacheslav",1966-03-15,Russia,1966,3,15,1
707,707,"IlinÄiÄ, Zlatko",1968-05-10,Yugoslavia (S&M),1968,5,10,2
708,708,"Iljin, Artem",1987-01-04,Russia,1987,1,4,1
709,709,"Iljiushenok, Ilia",1993-08-16,Russia,1993,8,16,3
710,710,"Iljushin, Alexei",1980-07-29,Russia,1980,7,29,3
711,711,"Illescas Cordoba, Miguel",1965-12-03,Spain,1965,12,3,4
712,712,"Illingworth, Max",1992-11-05,Australia,1992,11,5,4
713,713,"Inarkiev, Ernesto",1985-12-09,Russia,1985,12,9,4
714,714,"IndjiÄ, Aleksandar",1995-08-24,Serbia,1995,8,24,3
715,715,Iniyan P.,2002-09-13,India,2002,9,13,3
716,716,"Inkiov, Ventzislav",1956-05-19,Bulgaria,1956,5,19,2
717,717,"Ionescu, Constantin",1958-09-12,Romania,1958,9,12,3
718,718,"Ionov, Sergey",1962-01-07,Russia,1962,1,7,1
719,719,"IordÄchescu, Viorel",1977-04-20,Moldova,1977,4,20,2
720,720,"Iotov, Valentin",1988-09-06,Bulgaria,1988,9,6,3
721,721,"Ipatov, Alexander",1993-07-16,Spain,1993,7,16,3
722,722,"Irzhanov, Ruslan",1976-11-27,Kazakhstan,1976,11,27,4
723,723,"Iskandarov, Misratdin",1995-01-14,Azerbaijan,1995,1,14,1
724,724,"Iskusnyh, Sergei",1974-09-05,Russia,1974,9,5,3
725,725,"Ismagambetov, Anuar",1986-03-21,Kazakhstan,1986,3,21,1
726,726,"IstrÄÈescu, Andrei",1975-12-03,Romania,1975,12,3,4
727,727,"Iturrizaga Bonelli, Eduardo",1989-11-01,Venezuela,1989,11,1,4
728,728,"Iuldachev, Saidali",1968-01-31,Uzbekistan,1968,1,31,1
729,729,"Ivanchuk, Vasyl",1969-03-18,Soviet Union,1969,3,18,1
730,730,"IvaniÅ¡eviÄ, Ivan",1977-11-23,Yugoslavia (S&M),1977,11,23,4
732,732,"Ivanov, Alexander A.",1965-01-19,Russia,1965,1,19,1
733,733,"Ivanov, Igor Vasilyevich",1947-01-08,Canada,1947,1,8,1
734,734,"Ivanov, Mikhail M.",1969-01-20,Russia,1969,1,20,1
735,735,"Ivanov, Sergey",1961-09-29,Russia,1961,9,29,3
736,736,"IvanoviÄ, BoÅ¾idar",1946-08-24,Yugoslavia,1946,8,24,3
737,737,"IviÄ, Velimir",2002-08-27,Serbia,2002,8,27,3
738,738,"Ivkov, Borislav",1933-11-12,Yugoslavia,1933,11,12,4
739,739,"Izeta Txabarri, FÃ©lix",1961-08-03,Spain,1961,8,3,3
740,740,"Izmukhambetov, Salauat",1972,Kazakhstan,1972,1,1,1
741,741,"Izoria, Zviad",1984-01-06,Georgia,1984,1,6,1
742,742,"JacimoviÄ, Dragoljub",1964-01-10,North Macedonia,1964,1,10,1
744,744,"Jakovenko, Dmitry",1983-06-28,Russia,1983,6,28,2
745,745,"Jakubiec, Artur",1973-12-03,Poland,1973,12,3,4
746,746,"Jakubowski, Krzysztof",1983-09-23,Poland,1983,9,23,3
747,747,"Janev, Evgeni",1973-05-16,Bulgaria,1973,5,16,2
748,748,"Janjghava, Lasha",1970-05-05,Georgia,1970,5,5,2
749,749,"JankoviÄ, Alojzije",1983-04-02,Croatia,1983,4,2,2
750,750,"JanoÅ¡eviÄ, Dragoljub",1923-07-08,Yugoslavia,1923,7,8,3
751,751,"Janovsky, Sergey",1960-02-17,Russia,1960,2,17,1
752,752,"Jansa, Vlastimil",1942-11-27,CzechoÂ­slovakia,1942,11,27,4
753,753,"Janssen, Ruud",1979-05-01,Netherlands,1979,5,1,2
754,754,"Jaracz, PaweÅ",1975-07-22,Poland,1975,7,22,3
755,755,"JarmuÅa, Åukasz",1998-11-10,Poland,1998,11,10,4
756,756,"Jayaram, Ashwin",1990-08-14,India,1990,8,14,3
757,757,"Jedynak, RadosÅaw",1982-06-09,Poland,1982,6,9,2
758,758,"Jenni, Florian",1980-03-24,Switzerland,1980,3,24,1
759,759,"JeremiÄ, Veljko",1985-11-09,Serbia and Montenegro,1985,11,9,4
760,760,"Jianu, Vlad-Cristian",1984-09-27,Romania,1984,9,27,3
761,761,"JirovskÃ½, MiloÅ¡",1974-03-17,Czech Republic,1974,3,17,1
762,762,"Jobava, Baadur",1983-11-26,Georgia,1983,11,26,4
763,763,"Johannessen, Leif Erlend",1980-04-14,Norway,1980,4,14,2
764,764,"Johansen, Darryl K.",1959-02-04,Australia,1959,2,4,1
765,765,"Jojua, Davit",1989-06-08,Georgia,1989,6,8,2
767,767,"Jonkman, Harmen",1975-05-30,Netherlands,1975,5,30,2
768,768,"JovaniÄ, Ognjen",1978-05-04,Croatia,1978,5,4,2
769,769,"JovanoviÄ, Zoran",1979-06-07,Croatia,1979,6,7,2
770,770,Ju Wenjun,1991-01-31,China,1991,1,31,1
