,Unnamed: 0,Nombre,Nacimiento,PaÃ­s,year,month,day,trimestre
82,82,Arjun Kalyan,2002-06-17,India,2002,6,17,2
84,84,"Arkhipov, Sergey",1954-06-23,Russia,1954,6,23,2
85,85,"Ãrnason, JÃ³n L.",1960-11-13,Iceland,1960,11,13,4
86,86,"Arnaudov, G. Petar",1986-08-08,Bulgaria,1986,8,8,3
88,88,"Aronian, Levon",1982-10-06,Armenia,1982,10,6,4
89,89,"Aroshidze, Levan",1985-07-09,Georgia,1985,7,9,3
90,90,"Arribas Lopez, Angel",1993-11-27,Spain,1993,11,27,4
91,91,"Artemiev, Vladislav",1998-03-05,Russia,1998,3,5,1
92,92,"Arun Prasad, S.",1988-04-21,India,1988,4,21,2
93,93,"Arutinian, David",1984-05-31,Georgia,1984,5,31,2
94,94,Aryan Chopra,2001-12-10,India,2001,12,10,4
95,95,"Arzumanian, Georgy",1980-08-16,Armenia,1980,8,16,3
96,96,"Asadli, Vugar",2001-10-09,Azerbaijan,2001,10,9,4
97,97,"Asanov, Bolat",1961-05-07,Kazakhstan,1961,5,7,2
98,98,"Aseev, Konstantin",1960-10-20,Russia,1960,10,20,4
100,100,"Asis Gargatagli, Hipolito",1986-08-17,Spain,1986,8,17,3
101,101,"Askarov, Marat",1987-06-29,Russia,1987,6,29,2
102,102,"Asrian, Karen",1980-04-24,Armenia,1980,4,24,2
103,103,"Atabayev, Maksat",1994-12-28,Turkmenistan,1994,12,28,4
104,104,"AtalÄ±k, Suat",1964-10-10,Turkey,1964,10,10,4
105,105,"Averbakh, Yuri L.",1922-02-08,Soviet Union,1922,2,8,1
106,106,"Aveskulov, Valeriy",1986-01-31,Ukraine,1986,1,31,1
107,107,"Avrukh, Boris",1978-02-10,Israel,1978,2,10,1
108,108,"Azarov, Sergei",1983-05-19,Belarus,1983,5,19,2
109,109,"AzmaiparaÂ­shvili, Zurab",1960-03-16,Soviet Union,1960,3,16,1
110,110,"Babaev, Rashad",1981-09-03,Azerbaijan,1981,9,3,3
111,111,"Babujian, Levon",1986-05-08,Armenia,1986,5,8,2
112,112,"Babula, Vlastimil",1973-10-02,Czech Republic,1973,10,2,4
113,113,"Baburin, Alexander",1967-02-19,Israel,1967,2,19,1
114,114,"Bacallao Alonso, Yusnel",1988-06-21,Cuba,1988,6,21,2
115,115,"Bachmann, Axel",1989-11-04,Paraguay,1989,11,4,4
116,116,"Bacrot, Ãtienne",1983-01-22,France,1983,1,22,1
117,117,"Badea, Bela",1969-02-21,Romania,1969,2,21,1
118,118,"Bagaturov, Giorgi",1964-11-28,Georgia,1964,11,28,4
119,119,"Baghdasaryan, Vahe",1993-03-20,Armenia,1993,3,20,1
120,120,"Bagheri, Amir",1978-09-20,Iran,1978,9,20,3
121,121,"Bagirov, Rufat",1979-10-10,Azerbaijan,1979,10,10,4
122,122,"Bagirov, Vladimir",1936-08-16,Soviet Union,1936,8,16,3
123,123,"Bagrationi, Alexander",1990-07-13,Ukraine,1990,7,13,3
124,124,Bai Jinshi,1999-05-18,China,1999,5,18,2
125,125,"Bajarani, Ulvi",1995-01-27,Azerbaijan,1995,1,27,1
126,126,"Baklan, Vladimir",1978-02-25,Ukraine,1978,2,25,1
127,127,"Bakre, Tejas",1981-05-12,India,1981,5,12,2
129,129,"Balashov, Yuri S.",1949-03-12,Soviet Union,1949,3,12,1
130,130,"Baldauf, Marco",1990-04-16,Germany,1990,4,16,2
131,131,"Balinas, Rosendo Jr.",1941-09-10,Philippines,1941,9,10,3
132,132,"Balinov, Ilia",1966-07-28,Austria,1966,7,28,3
133,133,"Balog, Imre",1991-10-28,Hungary,1991,10,28,4
134,134,"Balogh, Csaba",1987-03-10,Hungary,1987,3,10,1
135,135,"Banikas, Hristos",1978-05-20,Greece,1978,5,20,2
136,136,"BÃ¡nusz, TamÃ¡s",1989-04-08,Hungary,1989,4,8,2
137,137,"Baramidze, David",1988-09-27,Germany,1988,9,27,3
138,138,"Barbero, Gerardo",1961-08-21,Argentina,1961,8,21,3
139,139,"Barbosa, Evandro Amorim",1992-08-24,Brazil,1992,8,24,3
140,140,"Barbosa, Oliver",1986-09-29,Philippines,1986,9,29,3
141,141,"Barcenilla, Rogelio",1972-01-23,Philippines,1972,1,23,1
142,142,"Barcza, Gedeon",1911-08-21,Hungary,1911,8,21,3
143,143,"BÃ¡rczay, LÃ¡szlÃ³",1936-02-21,Hungary,1936,2,21,1
144,144,"Bareev, Evgeny",1966-11-21,Soviet Union,1966,11,21,4
145,145,"Barlov, Dragan",1957-01-30,Yugoslavia,1957,1,30,1
146,146,"Baron, Tal",1992-08-07,Israel,1992,8,7,3
147,147,"Barrientos, Sergio E.",1986-06-29,Colombia,1986,6,29,2
148,148,"Barsov, Alexei",1966-04-03,Uzbekistan,1966,4,3,2
149,149,"Bartel, Mateusz",1985-01-03,Poland,1985,1,3,1
150,150,"Barua, Dibyendu",1966-10-27,India,1966,10,27,4
151,151,"Barus, Cerdas",1962-01-01,Indonesia,1962,1,1,1
152,152,"Baryshpolets, Andrey",1991-01-16,Ukraine,1991,1,16,1
153,153,"Basso, Pier Luigi",1997-12-15,Italy,1997,12,15,4
154,154,"Batchuluun, Tsegmed",1987-02-04,Mongolia,1987,2,4,1
155,155,"Batsiashvili, Nino",1987-01-01,Georgia,1987,1,1,1
156,156,"Batsuren, Dambasuren",2004-01-22,Mongolia,2004,1,22,1
157,157,"Batyrov, Sapar",1967-11-29,Turkmenistan,1967,11,29,4
158,158,"Bauer, Christian",1977-01-11,France,1977,1,11,1
159,159,"Becerra Rivero, Julio",1973-10-15,Cuba,1973,10,15,4
160,160,"Bedia, Melor",1979-09-26,Russia,1979,9,26,3
161,161,"Beim, Valeri",1950-03-17,Israel,1950,3,17,1
162,162,"Beliavsky, Alexander G.",1953-12-17,Soviet Union,1953,12,17,4
163,163,"Belikov, Vladimir",1971-08-02,Russia,1971,8,2,3
164,164,"Belkhodja, Slim",1962-11-23,Tunisia,1962,11,23,4
165,165,"Bellahcene, Bilel",1998-03-14,France,1998,3,14,1
166,166,"BellÃ³n LÃ³pez, Juan Manuel",1950-05-08,Spain,1950,5,8,2
167,167,"Belous, Vladimir",1993-07-29,Russia,1993,7,29,3
168,168,"Belov, Vladimir",1984-08-06,Russia,1984,8,6,3
169,169,"Belozerov, Andrei",1977-06-17,Russia,1977,6,17,2
170,170,"Benidze, Davit",1991-02-15,Georgia,1991,2,15,1
173,173,"BÃ©rczes, DÃ¡vid",1990-01-14,Hungary,1990,1,14,1
174,174,"Berdichevski, Igor",1964-07-15,Russia,1964,7,15,3
175,175,"Berelowitsch, Alexander",1967-07-02,Ukraine,1967,7,2,3
176,176,"Berescu, Alin-Mile",1980-04-14,Romania,1980,4,14,2
177,177,"Berg, Emanuel",1981-12-28,Sweden,1981,12,28,4
178,178,"Berkes, Ferenc",1985-08-08,Hungary,1985,8,8,3
179,179,"Bernadskiy, Vitaliy",1994-10-17,Ukraine,1994,10,17,4
180,180,"BernÃ¡Å¡ek, Jan",1986-05-31,Czech Republic,1986,5,31,2
181,181,"Bernstein, Ossip",1882-10-02,France,1882,10,2,4
182,182,"Beshukov, Sergei",1971-04-01,Russia,1971,4,1,2
183,183,"Bezgodov, Alexei",1969-06-30,Russia,1969,6,30,2
184,184,"Bezold, Michael",1972-05-23,Germany,1972,5,23,2
186,186,"Bilguun, Sumiya",1997-03-25,Mongolia,1997,3,25,1
187,187,"Bilek, IstvÃ¡n",1932-08-11,Hungary,1932,8,11,3
188,188,"Bindrich, Falko",1990-10-17,Germany,1990,10,17,4
189,189,"Bischoff, Klaus",1961-06-09,West Germany,1961,6,9,2
191,191,"BistriÄ, Faruk",1958-10-01,Bosnia and Herzegovina,1958,10,1,4
192,192,"Bitoon, Richard",1975-12-14,Philippines,1975,12,14,4
193,193,"Biyiasas, Peter",1950-11-19,Canada,1950,11,19,4
194,194,"Bjerre, Jonas Buhl",2004-06-26,Denmark,2004,6,26,2
195,195,"BlagojeviÄ, DragiÅ¡a",1966-01-01,Serbia and Montenegro,1966,1,1,1
196,196,"BlatnÃ½, Pavel",1968-06-22,Czech Republic,1968,6,22,2
197,197,"Blehm, PaweÅ",1980-04-17,Poland,1980,4,17,2
198,198,"Blomqvist, Erik",1990-10-19,Sweden,1990,10,19,4
199,199,"BlÃ¼baum, Matthias",1997-04-18,Germany,1997,4,18,2
200,200,"Bluvshtein, Mark",1988-04-20,Canada,1988,4,20,2
201,201,"Bobotsov, Milko",1931-10-30,Bulgaria,1931,10,30,4
202,202,"Bobras, Piotr",1977-09-09,Poland,1977,9,9,3
203,203,"Bocharov, Dmitry",1982-10-20,Russia,1982,10,20,4
204,204,"Bocharov, Ivan",1990-01-06,Russia,1990,1,6,1
205,205,"Bogdanovich, Stanislav",1993-02-04,Ukraine,1993,2,4,1
206,206,"Bogdanovski, Vlatko",1964-12-31,North Macedonia,1964,12,31,4
207,207,"Bogner, Sebastian",1991-01-17,Germany,1991,1,17,1
208,208,"Bogoljubov, Efim",1889-04-14,West Germany,1889,4,14,2
209,209,"BogosavljeviÄ, Boban",1988-04-26,Serbia,1988,4,26,2
210,210,"Bojkov, Dejan",1977-07-03,Bulgaria,1977,7,3,3
211,211,"Bok, Benjamin",1995-01-25,Netherlands,1995,1,25,1
212,212,"BolbochÃ¡n, Julio",1920-03-20,Argentina,1920,3,20,1
213,213,"Boleslavsky, Isaac",1919-06-09,Soviet Union,1919,6,9,2
214,214,"Bologan, Victor",1971-12-14,Moldova,1971,12,14,4
215,215,"Bondarevsky, Igor",1913-05-12,Soviet Union,1913,5,12,2
216,216,"BÃ¶nsch, Uwe",1958-10-15,West Germany,1958,10,15,4
217,217,"BÃ¶Ã¶k, Eero",1910-02-09,Finland,1910,2,9,1
218,218,"Borges Mateos, Juan",1966-03-28,Cuba,1966,3,28,1
219,219,"BoriÅ¡ek, Jure",1986-07-27,Slovenia,1986,7,27,3
220,220,"Boros, DÃ©nes",1988-04-30,Hungary,1988,4,30,2
221,221,"Borovikov, Vladislav",1973-08-10,Ukraine,1973,8,10,3
