,Nombre,Nacimiento,year,month,day,trimestre
260,"Ramírez Carner, Arnau",15/02/1989,1989,2,15,1
261,"Ramírez del Río, José",10/02/1973,1973,10,2,4
262,"Ramón Utrabo, Elvira",20/11/1966,1966,11,20,4
263,"Ramos Esteban, César Joaquín",01/03/1975,1975,1,3,1
264,"Ramos Rodríguez, José Luis",07/07/1970,1970,7,7,3
265,"Raya Rodríguez, María Tamara",27/08/1972,1972,8,27,3
266,"Redondo Calvillo, María de la O",04/04/1972,1972,4,4,2
267,"Rego Candamil, Néstor",02/04/1962,1962,2,4,1
268,"Renau Martínez, Germán",24/03/1978,1978,3,24,1
269,"Requejo Novoa, Pedro Jesús",24/06/1964,1964,6,24,2
270,"Requena Ruiz, Juan Diego",24/11/1980,1980,11,24,4
271,"Robles López, Joaquín",08/06/1964,1964,8,6,3
272,"Rodríguez Almeida, Andrés Alberto",22/02/1978,1978,2,22,1
273,"Rodríguez Gómez, María del Pilar",26/03/1975,1975,3,26,1
274,"Rodríguez Gómez de Celis, Alfonso",29/07/1970,1970,7,29,3
275,"Rodríguez Herrer, María Elvira",15/05/1949,1949,5,15,2
276,"Rodríguez Salas, José Antonio",20/10/1965,1965,10,20,4
277,"Rojas García, Carlos",23/09/1970,1970,9,23,3
278,"Romero Hernández, Carmelo",17/10/1958,1958,10,17,4
279,"Romero Sánchez, Rosa María",14/02/1970,1970,2,14,1
280,"Romero Vilches, María de los Reyes",30/12/1967,1967,12,30,4
281,"Ros Martínez, Susana",31/10/1969,1969,10,31,4
282,"Rosety Fernández de Castro, Agustín",26/03/1947,1947,3,26,1
283,"Rosique i Saltor, Marta",16/03/1996,1996,3,16,1
284,"Rueda Perelló, Patricia",20/10/1976,1976,10,20,4
285,"Rufián Romero, Gabriel",08/02/1982,1982,8,2,3
286,"Ruiz de Pinedo Undiano, Iñaki",23/07/1954,1954,7,23,3
287,"Ruiz i Carbonell, Joan",10/08/1954,1954,10,8,4
288,"Ruiz Navarro, Eduardo Luis",05/12/1972,1972,5,12,2
289,"Ruiz Solás, María de la Cabeza",13/09/1970,1970,9,13,3
290,"Saavedra Muñoz, Marisa",14/02/1962,1962,2,14,1
291,"Sabanés Nadal, Inés",24/06/1953,1953,6,24,2
292,"Sáez Alonso-Muñumer, Pablo",11/06/1964,1964,11,6,4
293,"Sagastizabal Unzetabarrenetxea, Idoia",22/09/1972,1972,9,22,3
294,"Sahuquillo García, Luis Carlos",11/01/1966,1966,11,1,4
295,"Salvá Verd, Antonio",24/04/1952,1952,4,24,2
296,"Salvador i Duch, Jordi",23/07/1964,1964,7,23,3
297,"Sánchez del Real, Víctor Manuel",23/11/1969,1969,11,23,4
298,"Sánchez Escobar, Mariano",12/10/1964,1964,12,10,4
299,"Sánchez García, José María",20/07/1976,1976,7,20,3
300,"Sánchez Jódar, Marisol",03/01/1971,1971,3,1,1
301,"Sánchez Pérez, César",21/06/1962,1962,6,21,2
302,"Sánchez Pérez-Castejón, Pedro",05/11/1976,1976,5,11,2
303,"Sánchez Serna, Javier",13/02/1976,1976,2,13,1
304,"Sancho Guardia, Alfredo",13/09/1957,1957,9,13,3
305,"Sancho Íñiguez, Herminio Rufino",20/10/1992,1992,10,20,4
306,"Santamaría Ruiz, Luis",22/12/1974,1974,12,22,4
307,"Santiago Romero, Enrique Fernando",01/11/1983,1983,1,11,1
308,"Sarrià Morell, Vicent Manuel",11/02/1970,1970,11,2,4
309,"Sayas López, Sergio",27/02/1969,1969,2,27,1
310,"Segura Just, Juan Carlos",16/08/1965,1965,8,16,3
311,"Senderos Oraá, Daniel",04/02/1973,1973,4,2,2
312,"Serrada Pariente, David",26/09/1988,1988,9,26,3
313,"Serrano Martínez, Juan Francisco",27/11/1985,1985,11,27,4
314,"Seva Ruiz, Yolanda",22/04/1962,1962,4,22,2
315,"Sicilia Alférez, Felipe Jesús",08/09/1987,1987,8,9,3
316,"Simancas Simancas, Rafael",23/12/1974,1974,12,23,4
317,"Soler Mur, Alejandro",17/04/1976,1976,4,17,2
318,"Soto Burillo, Juan Luis",29/04/1967,1967,4,29,2
319,"Steegmann Olmedillas, Juan Luis",08/07/1955,1955,8,7,3
320,"Suárez Illana, Adolfo",05/05/1964,1964,5,5,2
321,"Suárez Lamata, Eloy",08/02/1962,1962,8,2,3
322,"Sumelzo Jordán, Susana",22/12/1969,1969,12,22,4
323,"Taibo Monelos, Diego",23/02/1975,1975,2,23,1
324,"Tarno Blanco, Ricardo",20/05/1966,1966,5,20,2
325,"Telechea i Lozano, Carolina",09/08/1981,1981,9,8,3
326,"Tirado Ochoa, Vicente",13/01/1963,1963,1,13,1
327,"Tizón Vázquez, Uxía",22/06/1989,1989,6,22,2
328,"Toscano de Balbín, Carla",14/11/1977,1977,11,14,4
329,"Trías Gil, Georgina",14/07/1973,1973,7,14,3
