,name_last,dob,year,month,day,trimestre,Deporte
4827,Salva Vidal,19861120,1986,11,20,4,Tenis
4828,Lessiak,19861120,1986,11,20,4,Tenis
4829,Robertson,19861121,1986,11,21,4,Tenis
4830,Carpen,19861124,1986,11,24,4,Tenis
4832,Lopes,19861127,1986,11,27,4,Tenis
4833,Gschwend,19861204,1986,12,4,4,Tenis
4836,Orno,19861209,1986,12,9,4,Tenis
4838,Mohammed,19861216,1986,12,16,4,Tenis
4839,Erlic,19861220,1986,12,20,4,Tenis
4840,Mckenzie,19861221,1986,12,21,4,Tenis
4841,Norfeldt,19861223,1986,12,23,4,Tenis
4842,Michalicka,19861223,1986,12,23,4,Tenis
4843,Bossel,19861228,1986,12,28,4,Tenis
4846,Dasnieres De Veigy,19870105,1987,1,5,1,Tenis
4847,Naso,19870106,1987,1,6,1,Tenis
4848,Jankovits,19870106,1987,1,6,1,Tenis
4849,Skoloudik,19870109,1987,1,9,1,Tenis
4851,Piatkowski,19870115,1987,1,15,1,Tenis
4852,Cho,19870117,1987,1,17,1,Tenis
4853,Farah,19870120,1987,1,20,1,Tenis
4854,Olivares,19870121,1987,1,21,1,Tenis
4856,Romanowski,19870129,1987,1,29,1,Tenis
4857,Jecminek,19870130,1987,1,30,1,Tenis
4858,Horecny,19870130,1987,1,30,1,Tenis
4859,Sajous,19870204,1987,2,4,1,Tenis
4862,Kloimullner,19870208,1987,2,8,1,Tenis
4865,Bubka,19870210,1987,2,10,1,Tenis
4866,Petrov,19870211,1987,2,11,1,Tenis
4867,Chardy,19870212,1987,2,12,1,Tenis
4869,Nedovyesov,19870215,1987,2,15,1,Tenis
4871,Lukacs,19870225,1987,2,25,1,Tenis
4872,Santos Filho,19870225,1987,2,25,1,Tenis
4874,Stojisavljevic,19870226,1987,2,26,1,Tenis
4876,Puntus,19870301,1987,3,1,1,Tenis
4877,Tudoreanu,19870304,1987,3,4,1,Tenis
4878,Kavcic,19870305,1987,3,5,1,Tenis
4879,Marfia,19870306,1987,3,6,1,Tenis
4880,Bondarenko,19870308,1987,3,8,1,Tenis
4882,Strydom,19870313,1987,3,13,1,Tenis
4883,Luisi,19870313,1987,3,13,1,Tenis
4884,Rmus,19870314,1987,3,14,1,Tenis
4886,Haider Maurer,19870322,1987,3,22,1,Tenis
4887,Saenz,19870323,1987,3,23,1,Tenis
4888,Navarrete,19870326,1987,3,26,1,Tenis
4889,Authom,19870329,1987,3,29,1,Tenis
4891,Agostinelli,19870401,1987,4,1,2,Tenis
4892,Bachinger,19870402,1987,4,2,2,Tenis
4893,Haase,19870406,1987,4,6,2,Tenis
4895,Carvalho,19870410,1987,4,10,2,Tenis
4896,Ivanov,19870410,1987,4,10,2,Tenis
4897,Yunis,19870411,1987,4,11,2,Tenis
4898,Miele,19870412,1987,4,12,2,Tenis
4899,Paskvan,19870415,1987,4,15,2,Tenis
4900,Barrientos,19870424,1987,4,24,2,Tenis
4902,Statham,19870425,1987,4,25,2,Tenis
4903,Statham,19870425,1987,4,25,2,Tenis
4904,Trijati,19870426,1987,4,26,2,Tenis
4906,Kowalczyk,19870503,1987,5,3,2,Tenis
4907,Benedetti,19870505,1987,5,5,2,Tenis
4908,Eleskovic,19870508,1987,5,8,2,Tenis
4909,Stanica,19870508,1987,5,8,2,Tenis
4910,Baumann,19870509,1987,5,9,2,Tenis
4911,Fattar,19870512,1987,5,12,2,Tenis
4913,Mayer,19870515,1987,5,15,2,Tenis
4914,Molchanov,19870516,1987,5,16,2,Tenis
4915,Siributwong,19870517,1987,5,17,2,Tenis
4919,Djokovic,19870522,1987,5,22,2,Tenis
4920,Fognini,19870524,1987,5,24,2,Tenis
4921,Pulatov,19870526,1987,5,26,2,Tenis
4922,Kim Jr,19870526,1987,5,26,2,Tenis
4923,Farron Mahon,19870526,1987,5,26,2,Tenis
4924,Bjelica,19870527,1987,5,27,2,Tenis
4925,Stephan,19870528,1987,5,28,2,Tenis
4926,De Schepper,19870529,1987,5,29,2,Tenis
4927,Bejtulahi,19870601,1987,6,1,2,Tenis
4928,Kromann,19870601,1987,6,1,2,Tenis
4931,Aurelian Giurgiu,19870604,1987,6,4,2,Tenis
4933,Propst,19870605,1987,6,5,2,Tenis
4934,Conkic,19870605,1987,6,5,2,Tenis
4937,Nakic Alfirevic,19870608,1987,6,8,2,Tenis
4938,Desein,19870609,1987,6,9,2,Tenis
4939,Mcgee,19870610,1987,6,10,2,Tenis
4941,Ilhan,19870611,1987,6,11,2,Tenis
4942,Jelenic,19870613,1987,6,13,2,Tenis
4943,Doakmaiklee,19870613,1987,6,13,2,Tenis
4945,Thron,19870615,1987,6,15,2,Tenis
4946,Pedersen,19870615,1987,6,15,2,Tenis
4947,Fidirko,19870615,1987,6,15,2,Tenis
4951,Ruckelshausen,19870619,1987,6,19,2,Tenis
4952,Ball,19870620,1987,6,20,2,Tenis
4954,Reyes Varela,19870621,1987,6,21,2,Tenis
4955,Agar,19870621,1987,6,21,2,Tenis
4957,Mertens,19870625,1987,6,25,2,Tenis
4958,Kolik,19870630,1987,6,30,2,Tenis
4959,Cervenak,19870701,1987,7,1,3,Tenis
4961,Sadecky,19870706,1987,7,6,3,Tenis
4963,Kolbe,19870706,1987,7,6,3,Tenis
4964,Viola,19870707,1987,7,7,3,Tenis
4966,Alvarez Guzman,19870710,1987,7,10,3,Tenis
4969,Kirillov,19870714,1987,7,14,3,Tenis
4972,Brands,19870717,1987,7,17,3,Tenis
4973,Golubev,19870722,1987,7,22,3,Tenis
4976,Chang,19870723,1987,7,23,3,Tenis
4980,Vardhan,19870727,1987,7,27,3,Tenis
4981,Taubert,19870728,1987,7,28,3,Tenis
4982,Shokeen,19870731,1987,7,31,3,Tenis
4984,Zietsman,19870804,1987,8,4,3,Tenis
4986,Abdukhalikov,19870807,1987,8,7,3,Tenis
4988,Mavropoulos Stoliarenko,19870815,1987,8,15,3,Tenis
4990,Blom,19870817,1987,8,17,3,Tenis
4991,Sijsling,19870818,1987,8,18,3,Tenis
4993,Zverev,19870822,1987,8,22,3,Tenis
4995,Gong,19870824,1987,8,24,3,Tenis
4996,Neilly,19870824,1987,8,24,3,Tenis
4998,Kutrovsky,19870827,1987,8,27,3,Tenis
4999,Djurdjevic,19870828,1987,8,28,3,Tenis
5000,Yi,19870831,1987,8,31,3,Tenis
5001,Klier,19870831,1987,8,31,3,Tenis
5002,Coll Riudavets,19870905,1987,9,5,3,Tenis
5003,Sie,19870906,1987,9,6,3,Tenis
5005,Marchenko,19870908,1987,9,8,3,Tenis
5006,Bury,19870914,1987,9,14,3,Tenis
5007,Van Der Duim,19870916,1987,9,16,3,Tenis
5008,Skugor,19870920,1987,9,20,3,Tenis
5009,Tarasevitch,19870921,1987,9,21,3,Tenis
5010,Jovita,19870922,1987,9,22,3,Tenis
5011,Kamitz,19870926,1987,9,26,3,Tenis
5013,Coelho,19871002,1987,10,2,4,Tenis
5016,Kislyanskiy,19871009,1987,10,9,4,Tenis
5017,Bergman,19871010,1987,10,10,4,Tenis
5019,Fago,19871014,1987,10,14,4,Tenis
5020,Levine,19871015,1987,10,15,4,Tenis
5021,Betov,19871015,1987,10,15,4,Tenis
5022,Venus,19871016,1987,10,16,4,Tenis
5023,Myneni,19871019,1987,10,19,4,Tenis
5024,Groth,19871019,1987,10,19,4,Tenis
5026,Chomaev,19871023,1987,10,23,4,Tenis
5027,Cataldi,19871026,1987,10,26,4,Tenis
5028,Kim,19871027,1987,10,27,4,Tenis
5029,Rocher,19871028,1987,10,28,4,Tenis
5033,Lacko,19871103,1987,11,3,4,Tenis
5034,Peranamallur,19871106,1987,11,6,4,Tenis
5037,Belak,19871111,1987,11,11,4,Tenis
5038,Salec,19871117,1987,11,17,4,Tenis
5039,Puetz,19871119,1987,11,19,4,Tenis
5042,Look,19871124,1987,11,24,4,Tenis
5043,Ebden,19871126,1987,11,26,4,Tenis
5045,Giraldo,19871127,1987,11,27,4,Tenis
5046,Pazicky,19871213,1987,12,13,4,Tenis
5047,Malo,19871215,1987,12,15,4,Tenis
5048,Marek,19871217,1987,12,17,4,Tenis
5050,Lacroix,19871219,1987,12,19,4,Tenis
5051,Takeuchi,19871219,1987,12,19,4,Tenis
5052,Setkic,19871221,1987,12,21,4,Tenis
5053,Leonardi,19871222,1987,12,22,4,Tenis
5054,Kukushkin,19871226,1987,12,26,4,Tenis
5055,Arnaboldi,19871227,1987,12,27,4,Tenis
5056,Bellucci,19871230,1987,12,30,4,Tenis
5058,Panfil,19880101,1988,1,1,1,Tenis
5059,Stamchev,19880102,1988,1,2,1,Tenis
5060,Santos,19880105,1988,1,5,1,Tenis
5062,Podlipnik Castillo,19880109,1988,1,9,1,Tenis
5064,Singh,19880111,1988,1,11,1,Tenis
5065,Golubovic,19880113,1988,1,13,1,Tenis
5066,Bemelmans,19880114,1988,1,14,1,Tenis
5067,Oostdam,19880115,1988,1,15,1,Tenis
5068,Kozin,19880115,1988,1,15,1,Tenis
5069,Ramos,19880117,1988,1,17,1,Tenis
5070,Ramos,19880119,1988,1,19,1,Tenis
5071,Sergeyev,19880120,1988,1,20,1,Tenis
5072,Mecir Jr,19880120,1988,1,20,1,Tenis
5073,Durango,19880122,1988,1,22,1,Tenis
5075,Bader,19880122,1988,1,22,1,Tenis
5076,Lemke,19880125,1988,1,25,1,Tenis
5078,Saraiva,19880202,1988,2,2,1,Tenis
5079,Harbatsiuk,19880204,1988,2,4,1,Tenis
5080,Rochette,19880205,1988,2,5,1,Tenis
5082,Conocente,19880209,1988,2,9,1,Tenis
5083,Torebko,19880210,1988,2,10,1,Tenis
5086,Gemouchidis,19880212,1988,2,12,1,Tenis
5087,Korolev,19880214,1988,2,14,1,Tenis
5088,Dubail,19880214,1988,2,14,1,Tenis
